ros_time,elapsed,phase,max_position_error,max_velocity,min_inter_agent_distance,fresh_agent_count,stale_agent_ids,hold_elapsed,model_hold_elapsed,model_hold_pending
1789785518.2711704,0.001592636,MOVING,2.0000000000000036,0.0,4.0,7,,0.0,,False
1789785518.3213172,0.051739454,MOVING,2.0000000000056417,2.0393425946230636e-08,3.9999999999987317,7,,0.0,,False
1789785518.3713117,0.101733923,MOVING,2.000000001183917,9.78085382930749e-08,3.9999999999587206,7,,0.0,,False
1789785518.4214015,0.151823759,MOVING,2.0000000255721453,2.2380836292337765e-06,3.9999999973499123,7,,0.0,,False
1789785518.4714518,0.201874018,MOVING,2.0000002140085975,0.007040210291884943,3.9999998433204946,7,,0.0,,False
1789785518.5213218,0.251744032,MOVING,2.0000027598594636,0.12355186052132884,3.999996637767608,7,,0.0,,False
1789785518.5715115,0.301933766,MOVING,2.0000478515688402,0.29986322746628247,3.9999990222234487,7,,0.0,,False
1789785518.6213064,0.351728678,MOVING,2.0002775448538586,0.4709311551809537,3.9999999994878985,7,,0.0,,False
1789785518.671302,0.401724339,MOVING,2.0009298272793345,0.6188213391070602,4.000000000420562,7,,0.0,,False
1789785518.721287,0.451709271,MOVING,2.002282002878435,0.7397075253318492,3.9999999998806848,7,,0.0,,False
1789785518.7714007,0.501822949,MOVING,2.0046034541338953,0.8335151642521844,3.9999135675707294,7,,0.0,,False
1789785518.821262,0.551684141,MOVING,2.0081045663483286,0.9003147708804932,3.9997540537731604,7,,0.0,,False
1789785518.871419,0.601841211,MOVING,2.012877416077396,0.9250900047527426,3.999492797948568,7,,0.0,,False
