ros_time,elapsed,phase,max_position_error,max_velocity,min_inter_agent_distance,fresh_agent_count,stale_agent_ids,hold_elapsed,model_hold_elapsed,model_hold_pending
1789744935.6595106,0.001852512,MOVING,2.0000000000000036,0.0,4.0,7,,0.0,,False
1789744935.7096663,0.052008152,MOVING,2.000000000001063,0.0010122590049622719,3.9999999999996994,7,,0.0,,False
1789744935.7596474,0.101989269,MOVING,2.000000754784193,0.09198231012641422,3.9999999999276143,7,,0.0,,False
1789744935.8096783,0.152020216,MOVING,2.000027745870445,0.26396876135869657,3.9999999997229385,7,,0.0,,False
1789744935.8596678,0.202009678,MOVING,2.000198844805904,0.4383404637093144,3.9999999992820032,7,,0.0,,False
1789744935.909738,0.252079963,MOVING,2.000732988576328,0.5913666066445188,3.9999999998024474,7,,0.0,,False
1789744935.959703,0.302044868,MOVING,2.001901628011126,0.7177149606352514,3.9999999996449405,7,,0.0,,False
1789744936.009896,0.352237939,MOVING,2.003968114389291,0.8141315699257671,3.999999997056808,7,,0.0,,False
1789744936.0598395,0.402181387,MOVING,2.0070410995104484,0.8664868879897997,3.999966240560694,7,,0.0,,False
1789744936.109713,0.452054977,MOVING,2.0114953472105497,0.8989679441996066,3.9998265165464604,7,,0.0,,False
1789744936.159725,0.50206685,MOVING,2.015457524268098,0.8989679441996066,3.9995758828084775,7,,0.0,,False
1789744936.2097723,0.552114248,MOVING,2.0213405860588356,0.8989679441996066,3.999044399816223,7,,0.0,,False
1789744936.2596643,0.602006197,MOVING,2.025082600795673,0.8989679441996066,3.9985026612583483,7,,0.0,,False
1789744936.3096898,0.65203166,MOVING,2.0293329309840837,0.8989679441996066,3.9975219244638636,7,,0.0,,False
1789744936.3602152,0.702557087,MOVING,2.0317923614733506,0.867683605052075,3.9957564436455746,7,,0.0,,False
1789744936.4096441,0.751986026,MOVING,2.033691786550317,0.6928648452439582,3.994062124421104,7,,0.0,,False
1789744936.4597557,0.802097559,MOVING,2.0353942996348513,0.5880075079021435,3.9913505905557733,7,,0.0,,False
