ros_time,elapsed,phase,max_position_error,max_velocity,min_inter_agent_distance,fresh_agent_count,stale_agent_ids,hold_elapsed,model_hold_elapsed,model_hold_pending
1789785445.017204,0.001584292,MOVING,2.0000000000000036,0.0,4.0,7,,0.0,,False
1789785445.0674007,0.051780939,MOVING,2.0000000000009606,0.0010123538922942525,3.9999999999999325,7,,0.0,,False
1789785445.1173391,0.10171938,MOVING,2.0000007544387355,0.09198327698558115,3.9999999998025033,7,,0.0,,False
1789785445.1673925,0.151772738,MOVING,2.000027733656824,0.26396990955849164,3.999999999707555,7,,0.0,,False
1789785445.2173374,0.201717615,MOVING,2.0001987403348265,0.4383415028061088,3.999999640690509,7,,0.0,,False
1789785445.2673712,0.251751423,MOVING,2.0007331600664435,0.5913849385086878,3.9999969943166334,7,,0.0,,False
1789785445.3174546,0.301834822,MOVING,2.0019016796414264,0.7177297363745813,3.999991053582673,7,,0.0,,False
1789785445.3673642,0.351744414,MOVING,2.003973371032068,0.8168873299775954,3.9999814007527275,7,,0.0,,False
1789785445.4173608,0.401741028,MOVING,2.007174437248499,0.889747212661651,3.999971543968885,7,,0.0,,False
1789785445.467359,0.451739312,MOVING,2.011658286943059,0.9376731086021526,3.9997966320901472,7,,0.0,,False
