ros_time,elapsed,phase,max_position_error,max_velocity,min_inter_agent_distance,fresh_agent_count,stale_agent_ids,hold_elapsed,model_hold_elapsed,model_hold_pending
1789745190.3324258,0.001574993,MOVING,2.0000000000000036,0.0,4.0,7,,0.0,,False
1789745190.3825707,0.051719904,MOVING,2.000000000000998,0.0010209793077240136,3.999999999999239,7,,0.0,,False
1789745190.4326363,0.101785421,MOVING,2.000000756721716,0.09207045225951536,3.999999999788943,7,,0.0,,False
1789745190.4826071,0.151756287,MOVING,2.0000277728263764,0.26407362486319697,3.999999999680027,7,,0.0,,False
1789745190.532598,0.201747179,MOVING,2.0001989103323132,0.43843675779806246,3.999999998988107,7,,0.0,,False
1789745190.5826814,0.251830578,MOVING,2.0007335788745375,0.5914251768571527,3.9999998048962113,7,,0.0,,False
1789745190.6326091,0.301758289,MOVING,2.00189883056625,0.7119528713896451,3.999997402615933,7,,0.0,,False
1789745190.6826372,0.351786375,MOVING,2.003936943213796,0.8043112367303424,3.999993781485794,7,,0.0,,False
1789745190.7326279,0.401777029,MOVING,2.0070498805051082,0.8769520939991108,3.9999346166285115,7,,0.0,,False
1789745190.7827215,0.45187068,MOVING,2.0111564664592327,0.9010176181250314,3.9997678897253297,7,,0.0,,False
1789745190.8325896,0.501738787,MOVING,2.0159360376184936,0.9010176181250314,3.999549539330281,7,,0.0,,False
1789745190.8825736,0.551722765,MOVING,2.020567176109368,0.9010176181250314,3.9989976576760244,7,,0.0,,False
1789745190.9325955,0.601744652,MOVING,2.0251642562111405,0.9010176181250314,3.9984376095895784,7,,0.0,,False
1789745190.9825337,0.651682854,MOVING,2.029609011516683,0.9010176181250314,3.9971657961397273,7,,0.0,,False
1789745191.0325794,0.701728582,MOVING,2.032697261287944,0.8432516606849765,3.9956126471658955,7,,0.0,,False
1789745191.0825658,0.751714945,MOVING,2.0347669312008834,0.6763986472047268,3.993973697358355,7,,0.0,,False
1789745191.1325917,0.801740885,MOVING,2.036975944008703,0.5651629198248861,3.9912761508632295,7,,0.0,,False
1789745191.1826546,0.85180378,MOVING,2.0393647184469974,0.4733142391114803,3.9877369928912225,7,,0.0,,False
1789745191.2326021,0.90175128,MOVING,2.0409600956027876,0.4825726687256644,3.983194692268637,7,,0.0,,False
1789745191.282665,0.951814175,MOVING,2.0421098454252475,0.4997841771055192,3.9761257646927817,7,,0.0,,False
1789745191.3332632,1.002412319,MOVING,2.043868888905812,0.4997841771055192,3.970392036214503,7,,0.0,,False
1789745191.3825371,1.0516862869999999,MOVING,2.0462469303088113,0.5645718709001654,3.9617352557148515,7,,0.0,,False
