ros_time,elapsed,phase,max_position_error,max_velocity,min_inter_agent_distance,fresh_agent_count,stale_agent_ids,hold_elapsed,model_hold_elapsed,model_hold_pending
1789787417.483177,0.001565218,MOVING,2.00055795162158,0.01253525137442817,3.9995364666885584,7,,0.0,,False
1789787417.5333629,0.051751137,MOVING,2.0005270704622315,0.01179222247270794,3.999536627332095,7,,0.0,,False
1789787417.5833297,0.101717949,MOVING,2.000497959072552,0.011114640696403971,3.999528645991681,7,,0.0,,False
1789787417.6334987,0.15188694,MOVING,2.0004706459322192,0.010507124856326308,3.999519092789399,7,,0.0,,False
1789787417.6832812,0.201669455,MOVING,2.0004451440277555,0.009974687757556906,3.999508117889999,7,,0.0,,False
1789787417.7334044,0.251792669,MOVING,2.0004214517369157,0.00952171686820495,3.9994964092054786,7,,0.0,,False
1789787417.7833767,0.301764965,MOVING,2.000401806140351,0.009151841973209958,3.999484663824398,7,,0.0,,False
1789787417.8333468,0.351735115,MOVING,2.000388916950633,0.008867395570305761,3.9994735630184,7,,0.0,,False
1789787417.883372,0.40176034,MOVING,2.0003798281504643,0.008697993386248807,3.999463772951834,7,,0.0,,False
1789787417.9333992,0.451787472,MOVING,2.0003740447197558,0.008852822264748657,3.9994559217239822,7,,0.0,,False
1789787417.9833488,0.501737118,MOVING,2.0003731581383684,0.009036733992270774,3.9994505749475446,7,,0.0,,False
1789787418.0333488,0.55173707,MOVING,2.0003731581383684,0.009238619004856303,3.9994482182001283,7,,0.0,,False
1789787418.0833495,0.601737738,MOVING,2.0003731581383684,0.009447790435729325,3.9994492472296677,7,,0.0,,False
1789787418.133343,0.651731253,MOVING,2.0003731581383684,0.009654091026400463,3.9994539654874504,7,,0.0,,False
1789787418.1835253,0.701913595,MOVING,2.0003731581383684,0.009847937735071706,3.9994625794713388,7,,0.0,,False
1789787418.2335386,0.751926899,MOVING,2.0003727128073368,0.010020368414620643,3.999475206020608,7,,0.0,,False
1789787418.2833486,0.801736832,MOVING,2.0003699651015836,0.010163128953094569,3.999491868519912,7,,0.0,,False
1789787418.3333483,0.851736546,MOVING,2.0003637175342956,0.010268559528392118,3.9995125044012663,7,,0.0,,False
1789787418.3833518,0.901740074,MOVING,2.000352743891036,0.010329792706191417,3.9995366899088447,7,,0.0,,False
1789787418.4333186,0.951706886,MOVING,2.000335718458243,0.010342862962333365,3.9994966232748785,7,,0.0,,False
1789787418.4833264,1.001714707,MOVING,2.000311205778105,0.010342862962333365,3.9994495903769947,7,,0.0,,False
1789787418.533298,1.0516862869999999,MOVING,2.000277655445253,0.010342862962333365,3.9993945895530456,7,,0.0,,False
1789787418.5833528,1.101741076,MOVING,2.0002333948171622,0.010342862962333365,3.999330544378672,7,,0.0,,False
1789787418.63334,1.151728153,MOVING,2.0001766277894215,0.010342862962333365,3.9992563170280717,7,,0.0,,False
1789787418.6833372,1.201725483,MOVING,2.000105431449111,0.010330082404911185,3.99917072375537,7,,0.0,,False
1789787418.7333195,1.251707792,MOVING,2.000017756909476,0.010262707620081036,3.9990725495936648,7,,0.0,,False
1789787418.7833424,1.301730633,MOVING,1.9999114305788346,0.010135221831327154,3.9989605781855233,7,,0.0,,False
1789787418.8333476,1.35173583,MOVING,1.9997841580047209,0.009946034324985026,3.9988336146723538,7,,0.0,,False
1789787418.8833666,1.401754856,MOVING,1.9996481712529346,0.009695790753237161,3.998690510518917,7,,0.0,,False
1789787418.933438,1.451826334,MOVING,1.9995001300216795,0.010887683512097426,3.9985301910011777,7,,0.0,,False
1789787418.9835577,1.501945973,MOVING,1.9993219069447747,0.012278492426421341,3.9983516811395297,7,,0.0,,False
1789787419.0333521,1.5517404080000001,MOVING,1.9991107375728643,0.013764274702630409,3.998154134263592,7,,0.0,,False
1789787419.0833466,1.601734877,MOVING,1.9988638105257026,0.015342970739854803,3.997936855974579,7,,0.0,,False
1789787419.1334045,1.6517927650000002,MOVING,1.9985782795695861,0.01701180354167678,3.9976993216361016,7,,0.0,,False
1789787419.1833546,1.701742888,MOVING,1.9982512747972738,0.01876733818701453,3.9974411960691403,7,,0.0,,False
1789787419.2333949,1.751783133,MOVING,1.9978799147285022,0.020605567793812053,3.9971623503149427,7,,0.0,,False
1789787419.2833364,1.801724672,MOVING,1.9974613180505298,0.02252198229532733,3.996862867622916,7,,0.0,,False
1789787419.333387,1.85177517,MOVING,1.9969926147613333,0.02451163771150871,3.996543050947722,7,,0.0,,False
1789787419.3833904,1.901778698,MOVING,1.9964709567527366,0.026569209501750426,3.9962034315052373,7,,0.0,,False
1789787419.433413,1.9518013,MOVING,1.9958935284226007,0.02868906749280131,3.9958447679320384,7,,0.0,,False
